target_id Guy11_0h Guy11_4h Guy11_24h Dbip1_0h Dbip1_4h Dbip1_24h Dmst12_0h Dmst12_4h Dmst12_24h
MGG_00413T0 6481 29608 3824 22015.666666666668 30374 7611 16998.333333333332 19829.333333333332 4547
MGG_09300T0 1257.6666666666667 2980.6666666666665 729.3333333333334 2051.3333333333335 2759.6666666666665 1718 2534.6666666666665 2774.6666666666665 1299.6666666666667
MGG_01849T0 1837.3333333333333 5272.333333333333 1283 3160.6666666666665 4735.333333333333 2701.3333333333335 4339.666666666667 4278.333333333333 1556.3333333333333
MGG_12974T0 1027 2527 500.6666666666667 1768.6666666666667 2949 1009.3333333333334 2685 2171.6666666666665 799.6666666666666
MGG_01027T0 641.6666666666666 1401.3333333333333 340.6666666666667 693.6666666666666 1422 751 1360.3333333333333 1066.3333333333333 468
MGG_11945T0 363 1368 269.3333333333333 746 838 430.6666666666667 1044.6666666666667 658 365
MGG_02849T0 2522 7855.333333333333 767 3195 6412 1297.6666666666667 6212.333333333333 3128 726.3333333333334
MGG_00488T0 2941.6666666666665 4708.96 1351.3333333333333 3094 4888.94 1857.8366666666664 4362.666666666667 4664.666666666667 3192.3333333333335
MGG_06685T0 9285.873333333331 17686.533333333333 3935.38 14116.28 16723.13333333333 6684.9766666666665 18392.833333333332 14695.766666666666 11391.933333333332
MGG_01493T0 1104.7773333333334 3127.09 1154.9343333333334 2498.75 3265.3733333333334 1736.1266666666666 2730.0699999999997 2682.9333333333334 1927.62
MGG_10492T0 3321 8868.333333333334 1466 6654 8599.333333333334 3842 7206.666666666667 6181 4164.666666666667
MGG_08885T0 813.3333333333334 1940.3333333333333 923 1796.6666666666667 1739.6666666666667 1117.6666666666667 1836.6666666666667 1504 1420.6666666666667
MGG_07707T0 330.60133333333334 839.669 269.53433333333334 667.2486666666666 769.529 328.545 720.0203333333333 642.9596666666666 633.7726666666666
MGG_01227T0 1451.3333333333333 4449 2538.6666666666665 3774.6666666666665 3312.6666666666665 1850 4652.666666666667 2364.3333333333335 2497.3333333333335
MGG_00348T0 1006.3333333333334 2505.6666666666665 1899.6666666666667 2658 2138.3333333333335 1224 2841.3333333333335 2261.6666666666665 1747
MGG_07338T0 765.611 1451.493333333333 1047.1133333333332 1645.6 1380.0466666666666 944.0753333333332 1497.346 1331.0666666666666 834.8173333333333
MGG_07516T0 943.171 1615.6666666666667 881.7963333333333 1916.88 2050.8566666666666 941.4756666666668 2903.9266666666667 2018.41 1088.148
MGG_00957T0 792.4826666666667 2233.556666666667 642.2483333333333 2038.8633333333337 2337.3066666666664 909.0293333333332 3541.94 2329.75 1084.9566666666667
MGG_00345T0 2849.3333333333335 5118.333333333333 3039 6762.666666666667 7199.666666666667 3411 9275.666666666666 8367 3761.3333333333335
MGG_07222T0 504.6666666666667 711.3333333333334 304.3333333333333 1019.6666666666666 867.6666666666666 520.6666666666666 1176 997.6666666666666 462
MGG_08036T0 1184.6666666666667 1851.746666666667 563.0493333333334 2687.76 2884.91 1149.8033333333333 3920.456666666667 3049.2633333333333 1060.03
MGG_12809T0 1761.3333333333333 3126 1379.6666666666667 3587.3333333333335 2649.3333333333335 1894.6666666666667 4407.666666666667 2711.3333333333335 2058.6666666666665
MGG_01050T0 1150.6666666666667 2094 1141.6666666666667 2241 1731.3333333333333 1076.6666666666667 2439.6666666666665 1775.3333333333333 1331
MGG_02487T0 3641.3333333333335 11183.333333333334 5313.333333333333 12749.333333333334 11935 6909 13163.666666666666 10127.333333333334 6891
MGG_03373T0 545.6666666666666 874.6666666666666 510.6666666666667 1137.3333333333333 1068.6666666666667 660.6666666666666 1307.6666666666667 920 646.6666666666666
MGG_08142T0 220.66666666666663 603.6666666666666 316.6666666666667 787 487.3333333333333 513.6666666666666 727.3333333333334 591.6666666666666 268
MGG_05190T0 4916.333333333333 9934.333333333334 3863.6666666666665 11647.333333333334 9412.666666666666 6806 11187.666666666666 10860.666666666666 5587
