ProtID	GO_ID
MGG_00253	GO:0005737, GO:0008152, GO:0000105, GO:0003824, GO:0008652, GO:0016763, GO:0006541, GO:0000107, GO:0016829, GO:0016833, GO:0004359, GO:0016787, GO:0044238, GO:0044249, GO:1901576
MGG_00254	GO:0043086, GO:0004857, GO:0008073, GO:0008150, GO:0005575
MGG_00255	GO:0046872
MGG_00256	GO:0005737, GO:0006508, GO:0008152, GO:0016787, GO:0008237, GO:0005576, GO:0008242, GO:0042802, GO:0070573, GO:0006751, GO:0008233
MGG_00258	GO:0016021, GO:0003674, GO:0008150, GO:0005575, GO:0016020
MGG_00259	GO:0003674, GO:0005575
MGG_00260	GO:0003674, GO:0008150, GO:0005575
MGG_00261	GO:0005515, GO:0019538
MGG_00264	GO:0005789, GO:0016021, GO:0003674, GO:0019915, GO:0106399, GO:0008654, GO:0016020, GO:0016787, GO:0005783, GO:0140042, GO:0016818
MGG_00265	GO:0005524, GO:0008152, GO:0009117, GO:0003824, GO:0003877, GO:0008150, GO:0005575
MGG_00266	GO:0003674, GO:0008150, GO:0005575
MGG_00267	GO:0003674, GO:0008150, GO:0005575
MGG_00268	GO:0016021, GO:0003674, GO:0008150, GO:0005575, GO:0016020
MGG_00269	GO:0003674, GO:0005575
MGG_00270	GO:0008270, GO:0000166, GO:0016491, GO:0055114, GO:0008150, GO:0005575
MGG_00271	GO:0016021, GO:0016020, GO:0003674, GO:0008150, GO:0005575
MGG_00272	GO:0003674, GO:0005575, GO:0043386
MGG_00273	GO:0003674, GO:0008150, GO:0005575
MGG_00274	GO:0016021, GO:0020037, GO:0004872, GO:0016020, GO:0008047, GO:0006696, GO:0032443, GO:0005768
MGG_00275	GO:0016021, GO:0055085, GO:0022857, GO:0016020
MGG_00276	GO:0050660, GO:0003824, GO:0016491, GO:0055114, GO:0016614, GO:0008762, GO:0003674, GO:0005575, GO:0071949, GO:1901360
MGG_00277	GO:0016021, GO:0016020
MGG_00278	GO:0003674, GO:0008150, GO:0005575
MGG_00281	GO:0003824, GO:0030246, GO:0004553, GO:0016052, GO:0008150, GO:0005575
MGG_00282	GO:0006508, GO:0004252, GO:0016020, GO:0005618, GO:0008236, GO:0016787, GO:0008233
MGG_00283	GO:0003674, GO:0008150, GO:0005575
MGG_00288	GO:0003676, GO:0008380, GO:0006397, GO:0005681, GO:0003677, GO:0005634, GO:0006355, GO:0005622, GO:0008150, GO:0006807, GO:0044238, GO:0043170, GO:0000390
MGG_00289	GO:0016021, GO:0006865, GO:0006810, GO:0055085, GO:0016020, GO:0015171
MGG_00290	GO:0003674, GO:0008150, GO:0005575
MGG_00291	GO:0008270, GO:0005515, GO:0005737, GO:0046872
MGG_00292	GO:0003674, GO:0008150, GO:0005575
MGG_00294	GO:0003674, GO:0008150, GO:0005575
MGG_00295	GO:0005575
MGG_00296	GO:0005975, GO:0008152, GO:0016787, GO:0003824, GO:0030246, GO:0003674, GO:0008150, GO:0005575
MGG_00297	GO:0045145, GO:0003674, GO:0008150, GO:0090305, GO:0006259
MGG_00298	GO:0016021, GO:0003674, GO:0005575, GO:0016020
MGG_00299	GO:0003674, GO:0008150, GO:0005575
MGG_00300	GO:0046872, GO:0009055, GO:0020037, GO:0005506, GO:0055114, GO:0004497, GO:0016705, GO:0003674, GO:0008150, GO:0005575, GO:0016491
MGG_00301	GO:0046872, GO:0016021, GO:0009055, GO:0020037, GO:0005506, GO:0016491, GO:0055114, GO:0004497, GO:0016705, GO:0005575, GO:0016020
MGG_00302	GO:0008289, GO:0003674, GO:0008150, GO:0005575
MGG_00304	GO:0016021, GO:0055085, GO:0035673, GO:0035672, GO:0015833, GO:0016020, GO:0015031
MGG_00305	GO:0003674, GO:0008150, GO:0005575
MGG_00307	GO:0005737, GO:0003779, GO:0005856, GO:0030833, GO:0003674, GO:0034314, GO:0005885, GO:0051015, GO:0006897, GO:0044396, GO:0051654, GO:0071963, GO:0005739, GO:0030479
MGG_00308	GO:0005634, GO:0003743, GO:0030488, GO:0006413, GO:0031515
MGG_00309	GO:0046872, GO:0008152, GO:0016787, GO:0005576, GO:0004180, GO:0004181, GO:0005575, GO:0008233, GO:0006508
MGG_00311	GO:0006508, GO:0004190, GO:0005575
MGG_00312	GO:0051287, GO:0000166, GO:0055114, GO:0016616, GO:0048037, GO:0003674, GO:0005575
MGG_00314	GO:0016787, GO:0008150, GO:0005575
MGG_00316	GO:0005975, GO:0003824, GO:0043169, GO:0004560, GO:0005575, GO:0016787
MGG_00317	GO:0046872, GO:0008152, GO:0006559, GO:0003824, GO:0009072, GO:0004334, GO:0006572, GO:0005575, GO:0016787
MGG_00318	GO:0046872, GO:0008270, GO:0003677, GO:0005634, GO:0006355, GO:0006351, GO:0003700, GO:0019887, GO:0005956, GO:0050790, GO:0000981, GO:0006357
MGG_00319	GO:0005975, GO:0003824, GO:0004553, GO:0043169, GO:0005575, GO:0071704, GO:0016787, GO:0016798, GO:0008152, GO:0000272
MGG_00320	GO:0008270, GO:0005634, GO:0006355, GO:0003700, GO:0000981, GO:0045944
MGG_00321	GO:0003674, GO:0008150, GO:0005575
MGG_00322	GO:0003674, GO:0008150, GO:0005575, GO:0008757
MGG_00325	GO:0003674, GO:0008150, GO:0005575
MGG_00329	GO:0046872, GO:0008270, GO:0003677, GO:0005634, GO:0006355, GO:0006351, GO:0003700, GO:0000981, GO:0006357
MGG_00330	GO:0005737, GO:0006508, GO:0005524, GO:0005634, GO:0000166, GO:0016787, GO:0030163, GO:0016887, GO:0017111, GO:0006289, GO:0008233, GO:0019904, GO:1901800, GO:0030433, GO:0031625, GO:0032968, GO:0045899, GO:0070682, GO:0008540, GO:0036402, GO:0016043, GO:0000502, GO:0043161
MGG_00331	GO:0005737, GO:0006508, GO:0005634, GO:0016787, GO:0043161, GO:0004175, GO:0008233, GO:0051603, GO:0000502, GO:0005839, GO:0004298, GO:0010499, GO:0019774, GO:0043248, GO:0034515
MGG_00332	GO:0006355, GO:0003674, GO:0008150, GO:0005575
MGG_00333	GO:0016021, GO:0003674, GO:0005575, GO:0016020, GO:0000329
MGG_00336	GO:0005737, GO:0003674, GO:0008150, GO:0008180, GO:0005634
MGG_00338	GO:0003676, GO:0005524, GO:0003677, GO:0004386, GO:0005634, GO:0016787, GO:0008150, GO:0005575, GO:0140658, GO:0000166, GO:0006338
MGG_00339	GO:0005515
MGG_00340	GO:0003674, GO:0008150, GO:0005575
MGG_00341	GO:0002191, GO:0003743, GO:0001732, GO:0005575, GO:0005852, GO:0098808, GO:0016282, GO:0033290, GO:0005737, GO:0006412, GO:0003723, GO:0002183, GO:0006413, GO:0005829, GO:0071540, GO:0071541
MGG_00342	GO:0003677, GO:0005634, GO:0006355, GO:0043565, GO:0003700
MGG_00343	GO:0016021, GO:0008152, GO:0016746, GO:0005575, GO:0016020, GO:0016740
MGG_00345	GO:0005524, GO:0004672, GO:0000166, GO:0006355, GO:0004871, GO:0016740, GO:0004674, GO:0000156, GO:0006468, GO:0005622, GO:0007165, GO:0016772, GO:0035556, GO:0016301, GO:0016310, GO:0000160, GO:0005575, GO:0051094
MGG_00346	GO:0016021, GO:0055085, GO:0022857, GO:0016020
MGG_00347	GO:0005634, GO:0006281, GO:0003824, GO:0006284, GO:0006289, GO:0003684, GO:0008534, GO:0140078, GO:0016829, GO:0000702, GO:0006285
MGG_00348	GO:0003676, GO:0003723, GO:0000166
