GO.ID	Term	Annotated	Significant	Expected	topgoFisher	filename	GO_cat
GO:0000472	endonucleolytic cleavage to generate mat...	14	10	0.9	9.1e-10	downreg_Dmst12_0h	BP
GO:0000480	endonucleolytic cleavage in 5'-ETS of tr...	13	9	0.84	1e-08	downreg_Dmst12_0h	BP
GO:0000462	maturation of SSU-rRNA from tricistronic...	34	22	2.19	1.2e-08	downreg_Dmst12_0h	BP
GO:0042274	ribosomal small subunit biogenesis	49	29	3.16	1.7e-05	downreg_Dmst12_0h	BP
GO:0042273	ribosomal large subunit biogenesis	41	22	2.64	1.8e-05	downreg_Dmst12_0h	BP
GO:0006355	regulation of DNA-templated transcriptio...	428	39	27.6	0.00013	downreg_Dmst12_0h	BP
GO:0000466	maturation of 5.8S rRNA from tricistroni...	33	17	2.13	0.00019	downreg_Dmst12_0h	BP
GO:0006338	chromatin remodeling	84	14	5.42	0.00063	downreg_Dmst12_0h	BP
GO:0000055	ribosomal large subunit export from nucl...	8	4	0.52	0.00097	downreg_Dmst12_0h	BP
GO:0000027	ribosomal large subunit assembly	15	5	0.97	0.00191	downreg_Dmst12_0h	BP
GO:0031167	rRNA methylation	14	5	0.9	0.0024	downreg_Dmst12_0h	BP
GO:0110136	protein-RNA complex remodeling	2	2	0.13	0.00415	downreg_Dmst12_0h	BP
GO:0006552	leucine catabolic process	2	2	0.13	0.00415	downreg_Dmst12_0h	BP
GO:0007089	traversing start control point of mitoti...	2	2	0.13	0.00415	downreg_Dmst12_0h	BP
GO:0097623	potassium ion export across plasma membr...	2	2	0.13	0.00415	downreg_Dmst12_0h	BP
GO:1902626	assembly of large subunit precursor of p...	6	3	0.39	0.0046	downreg_Dmst12_0h	BP
GO:0006559	L-phenylalanine catabolic process	6	3	0.39	0.0046	downreg_Dmst12_0h	BP
GO:0016973	poly(A)+ mRNA export from nucleus	12	4	0.77	0.00558	downreg_Dmst12_0h	BP
GO:0042255	ribosome assembly	24	9	1.55	0.00747	downreg_Dmst12_0h	BP
GO:0046656	folic acid biosynthetic process	7	3	0.45	0.00767	downreg_Dmst12_0h	BP
GO:0042254	ribosome biogenesis	180	75	11.61	0.00855	downreg_Dmst12_0h	BP
GO:0007049	cell cycle	246	25	15.86	0.01101	downreg_Dmst12_0h	BP
GO:0035998	7,8-dihydroneopterin 3'-triphosphate bio...	3	2	0.19	0.01192	downreg_Dmst12_0h	BP
GO:0006572	tyrosine catabolic process	3	2	0.19	0.01192	downreg_Dmst12_0h	BP
GO:0006574	valine catabolic process	3	2	0.19	0.01192	downreg_Dmst12_0h	BP
GO:2000232	regulation of rRNA processing	3	2	0.19	0.01192	downreg_Dmst12_0h	BP
GO:0051056	regulation of small GTPase mediated sign...	26	5	1.68	0.01663	downreg_Dmst12_0h	BP
GO:0000160	phosphorelay signal transduction system	17	4	1.1	0.02075	downreg_Dmst12_0h	BP
GO:0006265	DNA topological change	4	2	0.26	0.02282	downreg_Dmst12_0h	BP
GO:0002943	tRNA dihydrouridine synthesis	4	2	0.26	0.02282	downreg_Dmst12_0h	BP
GO:0006744	ubiquinone biosynthetic process	11	3	0.71	0.02981	downreg_Dmst12_0h	BP
GO:0006396	RNA processing	352	79	22.7	0.03513	downreg_Dmst12_0h	BP
GO:0046654	tetrahydrofolate biosynthetic process	5	2	0.32	0.03643	downreg_Dmst12_0h	BP
GO:0000056	ribosomal small subunit export from nucl...	5	2	0.32	0.03643	downreg_Dmst12_0h	BP
GO:0006546	glycine catabolic process	5	2	0.32	0.03643	downreg_Dmst12_0h	BP
GO:0055085	transmembrane transport	606	66	46.39	1.4e-05	downreg_Dmst12_24h	BP
GO:0030245	cellulose catabolic process	22	7	1.68	0.00092	downreg_Dmst12_24h	BP
GO:0009103	lipopolysaccharide biosynthetic process	8	4	0.61	0.00185	downreg_Dmst12_24h	BP
GO:0008152	metabolic process	3931	288	300.9	0.00225	downreg_Dmst12_24h	BP
GO:0019343	cysteine biosynthetic process via cystat...	2	2	0.15	0.00585	downreg_Dmst12_24h	BP
GO:1901106	tetracenomycin C biosynthetic process	2	2	0.15	0.00585	downreg_Dmst12_24h	BP
GO:0008643	carbohydrate transport	34	7	2.6	0.01297	downreg_Dmst12_24h	BP
GO:0006801	superoxide metabolic process	8	3	0.61	0.01663	downreg_Dmst12_24h	BP
GO:0000105	histidine biosynthetic process	8	3	0.61	0.01867	downreg_Dmst12_24h	BP
GO:0043386	mycotoxin biosynthetic process	16	4	1.22	0.02949	downreg_Dmst12_24h	BP
GO:0017000	antibiotic biosynthetic process	4	2	0.31	0.03163	downreg_Dmst12_24h	BP
GO:0051083	'de novo' cotranslational protein foldin...	4	2	0.31	0.03163	downreg_Dmst12_24h	BP
GO:0006535	cysteine biosynthetic process from serin...	4	2	0.31	0.03163	downreg_Dmst12_24h	BP
GO:0070814	hydrogen sulfide biosynthetic process	7	3	0.54	0.04995	downreg_Dmst12_24h	BP
GO:0006355	regulation of DNA-templated transcriptio...	428	54	29.6	0.00024	downreg_Dmst12_4h	BP
GO:0106074	aminoacyl-tRNA metabolism involved in tr...	7	4	0.48	0.00067	downreg_Dmst12_4h	BP
GO:0051258	protein polymerization	27	5	1.87	0.00125	downreg_Dmst12_4h	BP
GO:1903833	positive regulation of cellular response...	4	3	0.28	0.00125	downreg_Dmst12_4h	BP
GO:0120009	intermembrane lipid transfer	5	3	0.35	0.00296	downreg_Dmst12_4h	BP
GO:0034198	cellular response to amino acid starvati...	6	5	0.41	0.00473	downreg_Dmst12_4h	BP
GO:0007010	cytoskeleton organization	84	9	5.81	0.00475	downreg_Dmst12_4h	BP
GO:0006096	glycolytic process	20	6	1.38	0.00476	downreg_Dmst12_4h	BP
GO:0045901	positive regulation of translational elo...	2	2	0.14	0.00478	downreg_Dmst12_4h	BP
GO:0045905	positive regulation of translational ter...	2	2	0.14	0.00478	downreg_Dmst12_4h	BP
GO:0006048	UDP-N-acetylglucosamine biosynthetic pro...	6	3	0.41	0.00562	downreg_Dmst12_4h	BP
GO:0006357	regulation of transcription by RNA polym...	282	33	19.5	0.00834	downreg_Dmst12_4h	BP
GO:0045454	cell redox homeostasis	21	5	1.45	0.01251	downreg_Dmst12_4h	BP
GO:0034765	regulation of monoatomic ion transmembra...	5	3	0.35	0.01363	downreg_Dmst12_4h	BP
GO:0006432	phenylalanyl-tRNA aminoacylation	3	2	0.21	0.01367	downreg_Dmst12_4h	BP
GO:0006094	gluconeogenesis	15	4	1.04	0.01413	downreg_Dmst12_4h	BP
GO:0008612	peptidyl-lysine modification to peptidyl...	4	2	0.28	0.02609	downreg_Dmst12_4h	BP
GO:0006097	glyoxylate cycle	4	2	0.28	0.02609	downreg_Dmst12_4h	BP
GO:0000160	phosphorelay signal transduction system	17	4	1.18	0.02614	downreg_Dmst12_4h	BP
GO:0009086	methionine biosynthetic process	18	6	1.24	0.02706	downreg_Dmst12_4h	BP
GO:0006488	dolichol-linked oligosaccharide biosynth...	10	3	0.69	0.02737	downreg_Dmst12_4h	BP
GO:0006468	protein phosphorylation	157	18	10.86	0.03003	downreg_Dmst12_4h	BP
GO:0006890	retrograde vesicle-mediated transport, G...	19	4	1.31	0.03817	downreg_Dmst12_4h	BP
GO:0010038	response to metal ion	9	3	0.62	0.0414	downreg_Dmst12_4h	BP
GO:0019509	L-methionine salvage from methylthioaden...	5	2	0.35	0.0415	downreg_Dmst12_4h	BP
GO:0034470	ncRNA processing	221	8	15.28	0.04277	downreg_Dmst12_4h	BP
GO:0006414	translational elongation	30	7	2.07	0.04462	downreg_Dmst12_4h	BP
GO:0046835	carbohydrate phosphorylation	12	3	0.83	0.04527	downreg_Dmst12_4h	BP
GO:0005975	carbohydrate metabolic process	404	51	27.54	0.00028	upreg_Dbip1_0h	BP
GO:0098869	cellular oxidant detoxification	33	8	2.25	0.0022	upreg_Dbip1_0h	BP
GO:0006094	gluconeogenesis	15	5	1.02	0.00245	upreg_Dbip1_0h	BP
GO:0000103	sulfate assimilation	7	5	0.48	0.00281	upreg_Dbip1_0h	BP
GO:0016310	phosphorylation	263	20	17.93	0.00392	upreg_Dbip1_0h	BP
GO:0006096	glycolytic process	20	6	1.36	0.00447	upreg_Dbip1_0h	BP
GO:0019354	siroheme biosynthetic process	2	2	0.14	0.00464	upreg_Dbip1_0h	BP
GO:0019379	sulfate assimilation, phosphoadenylyl su...	2	2	0.14	0.00464	upreg_Dbip1_0h	BP
GO:0015671	oxygen transport	2	2	0.14	0.00464	upreg_Dbip1_0h	BP
GO:0006048	UDP-N-acetylglucosamine biosynthetic pro...	6	3	0.41	0.00539	upreg_Dbip1_0h	BP
GO:1901576	organic substance biosynthetic process	1896	130	129.26	0.00561	upreg_Dbip1_0h	BP
GO:0016126	sterol biosynthetic process	22	5	1.5	0.00679	upreg_Dbip1_0h	BP
GO:0044249	cellular biosynthetic process	1863	122	127.01	0.00699	upreg_Dbip1_0h	BP
GO:0070814	hydrogen sulfide biosynthetic process	7	3	0.48	0.00897	upreg_Dbip1_0h	BP
GO:0009099	valine biosynthetic process	7	3	0.48	0.00897	upreg_Dbip1_0h	BP
GO:0044396	actin cortical patch organization	13	4	0.89	0.00931	upreg_Dbip1_0h	BP
GO:0008152	metabolic process	3931	306	268	0.00996	upreg_Dbip1_0h	BP
GO:0045454	cell redox homeostasis	21	5	1.43	0.0118	upreg_Dbip1_0h	BP
GO:0006006	glucose metabolic process	20	7	1.36	0.01311	upreg_Dbip1_0h	BP
GO:0006012	galactose metabolic process	4	3	0.27	0.01325	upreg_Dbip1_0h	BP
GO:0000105	histidine biosynthetic process	8	3	0.55	0.01362	upreg_Dbip1_0h	BP
GO:0019344	cysteine biosynthetic process	9	3	0.61	0.01942	upreg_Dbip1_0h	BP
GO:0009097	isoleucine biosynthetic process	9	3	0.61	0.01942	upreg_Dbip1_0h	BP
GO:0006144	purine nucleobase metabolic process	13	4	0.89	0.02526	upreg_Dbip1_0h	BP
GO:0097428	protein maturation by iron-sulfur cluste...	8	3	0.55	0.02532	upreg_Dbip1_0h	BP
GO:0000162	tryptophan biosynthetic process	4	2	0.27	0.02538	upreg_Dbip1_0h	BP
GO:0008655	pyrimidine-containing compound salvage	4	2	0.27	0.02538	upreg_Dbip1_0h	BP
GO:0017000	antibiotic biosynthetic process	4	2	0.27	0.02538	upreg_Dbip1_0h	BP
GO:0005992	trehalose biosynthetic process	4	2	0.27	0.02538	upreg_Dbip1_0h	BP
GO:0042744	hydrogen peroxide catabolic process	4	2	0.27	0.02538	upreg_Dbip1_0h	BP
GO:0006750	glutathione biosynthetic process	4	2	0.27	0.02538	upreg_Dbip1_0h	BP
GO:0015680	protein maturation by copper ion transfe...	4	2	0.27	0.02538	upreg_Dbip1_0h	BP
GO:0009231	riboflavin biosynthetic process	10	3	0.68	0.02636	upreg_Dbip1_0h	BP
GO:0009086	methionine biosynthetic process	18	4	1.23	0.03039	upreg_Dbip1_0h	BP
GO:0009058	biosynthetic process	1953	137	133.15	0.03316	upreg_Dbip1_0h	BP
GO:0006879	intracellular iron ion homeostasis	12	4	0.82	0.03429	upreg_Dbip1_0h	BP
GO:0006457	protein folding	90	14	6.14	0.03986	upreg_Dbip1_0h	BP
GO:0006520	amino acid metabolic process	219	35	14.93	0.04007	upreg_Dbip1_0h	BP
GO:0009073	aromatic amino acid family biosynthetic ...	12	5	0.82	0.04007	upreg_Dbip1_0h	BP
GO:0042438	melanin biosynthetic process	5	2	0.34	0.04041	upreg_Dbip1_0h	BP
GO:0019287	isopentenyl diphosphate biosynthetic pro...	5	2	0.34	0.04041	upreg_Dbip1_0h	BP
GO:0034765	regulation of monoatomic ion transmembra...	5	2	0.34	0.04041	upreg_Dbip1_0h	BP
GO:0006066	alcohol metabolic process	75	10	5.11	0.04267	upreg_Dbip1_0h	BP
GO:0000413	protein peptidyl-prolyl isomerization	12	3	0.82	0.04366	upreg_Dbip1_0h	BP
GO:0046835	carbohydrate phosphorylation	12	3	0.82	0.04366	upreg_Dbip1_0h	BP
GO:0034599	cellular response to oxidative stress	38	6	2.59	0.04984	upreg_Dbip1_0h	BP
GO:0055085	transmembrane transport	606	94	59.81	9.9e-06	upreg_Dbip1_24h	BP
GO:0008152	metabolic process	3931	356	387.97	0.00057	upreg_Dbip1_24h	BP
GO:0035672	oligopeptide transmembrane transport	13	6	1.28	0.00085	upreg_Dbip1_24h	BP
GO:0006878	intracellular copper ion homeostasis	11	5	1.09	0.00257	upreg_Dbip1_24h	BP
GO:0035434	copper ion transmembrane transport	8	4	0.79	0.00476	upreg_Dbip1_24h	BP
GO:0019441	tryptophan catabolic process to kynureni...	8	4	0.79	0.00476	upreg_Dbip1_24h	BP
GO:0071918	urea transmembrane transport	2	2	0.2	0.00973	upreg_Dbip1_24h	BP
GO:0008295	spermidine biosynthetic process	2	2	0.2	0.00973	upreg_Dbip1_24h	BP
GO:0009398	FMN biosynthetic process	2	2	0.2	0.00973	upreg_Dbip1_24h	BP
GO:0032259	methylation	161	20	15.89	0.02063	upreg_Dbip1_24h	BP
GO:0019408	dolichol biosynthetic process	3	2	0.3	0.02727	upreg_Dbip1_24h	BP
GO:0006826	iron ion transport	13	4	1.28	0.03261	upreg_Dbip1_24h	BP
GO:0009103	lipopolysaccharide biosynthetic process	8	3	0.79	0.03673	upreg_Dbip1_24h	BP
GO:1901360	organic cyclic compound metabolic proces...	1519	113	149.92	0.0402	upreg_Dbip1_24h	BP
GO:0000272	polysaccharide catabolic process	102	16	5.77	0.00062	upreg_Dbip1_4h	BP
GO:0005975	carbohydrate metabolic process	404	46	22.87	0.00118	upreg_Dbip1_4h	BP
GO:0006032	chitin catabolic process	16	5	0.91	0.00148	upreg_Dbip1_4h	BP
GO:0006044	N-acetylglucosamine metabolic process	2	2	0.11	0.0032	upreg_Dbip1_4h	BP
GO:0031142	induction of conjugation upon nitrogen s...	2	2	0.11	0.0032	upreg_Dbip1_4h	BP
GO:0019290	siderophore biosynthetic process	2	2	0.11	0.0032	upreg_Dbip1_4h	BP
GO:0035672	oligopeptide transmembrane transport	13	4	0.74	0.00481	upreg_Dbip1_4h	BP
